Connection/Authentication	user	No		-2147483647	all versions	 The user to connect as 
Networking	callableStmtCacheSize	No	100	5	3.1.2	 If 'cacheCallableStmts' is enabled, how many callable statements should be cached? 
Networking	metadataCacheSize	No	50	5	3.1.1	 The number of queries to cache ResultSetMetadata for if cacheResultSetMetaData is set to 'true' (default 50) 
Networking	useLocalSessionState	No	false	5	3.1.7	 Should the driver refer to the internal values of autocommit and transaction isolation that are set by Connection.setAutoCommit() and Connection.setTransactionIsolation() and transaction state as maintained by the protocol, rather than querying the database or blindly sending commands to the database for commit() or rollback() method calls? 
Networking	useLocalTransactionState	No	false	6	5.1.7	 Should the driver use the in-transaction state provided by the MySQL protocol to determine if a commit() or rollback() should actually be sent to the database? 
Networking	prepStmtCacheSize	No	25	10	3.0.10	 If prepared statement caching is enabled, how many prepared statements should be cached? 
Networking	prepStmtCacheSqlLimit	No	256	11	3.0.10	 If prepared statement caching is enabled, what's the largest SQL the driver will cache the parsing for? 
Networking	parseInfoCacheFactory	No	com.mysql.jdbc.PerConnectionLRUFactory	12	5.1.1	 Name of a class implementing com.mysql.jdbc.CacheAdapterFactory, which will be used to create caches for the parsed representation of client-side prepared statements. 
Networking	serverConfigCacheFactory	No	com.mysql.jdbc.PerVmServerConfigCacheFactory	12	5.1.1	 Name of a class implementing com.mysql.jdbc.CacheAdapterFactory&lt;String, Map&lt;String, String&gt;&gt;, which will be used to create caches for MySQL server configuration values 
Networking	alwaysSendSetIsolation	No	true	2147483647	3.1.7	 Should the driver always communicate with the database when Connection.setTransactionIsolation() is called? If set to false, the driver will only communicate with the database when the requested transaction isolation is different than the whichever is newer, the last value that was set via Connection.setTransactionIsolation(), or the value that was read from the server when the connection was established. Note that useLocalSessionState=true will force the same behavior as alwaysSendSetIsolation=false, regardless of how alwaysSendSetIsolation is set. 
Networking	maintainTimeStats	No	true	2147483647	3.1.9	 Should the driver maintain various internal timers to enable idle time calculations as well as more verbose error messages when the connection to the server fails? Setting this property to false removes at least two calls to System.getCurrentTimeMillis() per query. 
Networking	useCursorFetch	No	false	2147483647	5.0.0	 If connected to MySQL &gt; 5.0.2, and setFetchSize() &gt; 0 on a statement, should that statement use cursor-based fetching to retrieve rows? 
Networking	blobSendChunkSize	No	1048576	alpha	3.1.9	 Chunk size to use when sending BLOB/CLOBs via ServerPreparedStatements. Note that this value cannot exceed the value of "maxAllowedPacket" and, if that is the case, then this value will be corrected automatically. 
Networking	cacheCallableStmts	No	false	alpha	3.1.2	 Should the driver cache the parsing stage of CallableStatements 
Networking	cachePrepStmts	No	false	alpha	3.0.10	 Should the driver cache the parsing stage of PreparedStatements of client-side prepared statements, the "check" for suitability of server-side prepared and server-side prepared statements themselves? 
Networking	cacheResultSetMetadata	No	false	alpha	3.1.1	 Should the driver cache ResultSetMetaData for Statements and PreparedStatements? (Req. JDK-1.4+, true/false, default 'false') 
Networking	cacheServerConfiguration	No	false	alpha	3.1.5	 Should the driver cache the results of 'SHOW VARIABLES' and 'SHOW COLLATION' on a per-URL basis? 
Networking	defaultFetchSize	No	0	alpha	3.1.9	 The driver will call setFetchSize(n) with this value on all newly-created Statements 
Networking	dontCheckOnDuplicateKeyUpdateInSQL	No	false	alpha	5.1.32	 Stops checking if every INSERT statement contains the "ON DUPLICATE KEY UPDATE" clause. As a side effect, obtaining the statement's generated keys information will return a list where normally it wouldn't. Also be aware that, in this case, the list of generated keys returned may not be accurate. The effect of this property is canceled if set simultaneously with 'rewriteBatchedStatements=true'. 
Networking	dontTrackOpenResources	No	false	alpha	3.1.7	 The JDBC specification requires the driver to automatically track and close resources, however if your application doesn't do a good job of explicitly calling close() on statements or result sets, this can cause memory leakage. Setting this property to true relaxes this constraint, and can be more memory efficient for some applications. Also the automatic closing of the Statement and current ResultSet in Statement.closeOnCompletion() and Statement.getMoreResults ([Statement.CLOSE_CURRENT_RESULT | Statement.CLOSE_ALL_RESULTS]), respectively, ceases to happen. This property automatically sets holdResultsOpenOverStatementClose=true. 
Networking	dynamicCalendars	No	false	alpha	3.1.5	 Should the driver retrieve the default calendar when required, or cache it per connection/session? 
Networking	elideSetAutoCommits	No	false	alpha	3.1.3	 If using MySQL-4.1 or newer, should the driver only issue 'set autocommit=n' queries when the server's state doesn't match the requested state by Connection.setAutoCommit(boolean)? 
Networking	enableEscapeProcessing	No	true	alpha	5.1.37	 Sets the default escape processing behavior for Statement objects. The method Statement.setEscapeProcessing() can be used to specify the escape processing behavior for an individual Statement object. Default escape processing behavior in prepared statements must be defined with the property 'processEscapeCodesForPrepStmts'. 
Networking	enableQueryTimeouts	No	true	alpha	5.0.6	 When enabled, query timeouts set via Statement.setQueryTimeout() use a shared java.util.Timer instance for scheduling. Even if the timeout doesn't expire before the query is processed, there will be memory used by the TimerTask for the given timeout which won't be reclaimed until the time the timeout would have expired if it hadn't been cancelled by the driver. High-load environments might want to consider disabling this functionality. 
Networking	holdResultsOpenOverStatementClose	No	false	alpha	3.1.7	 Should the driver close result sets on Statement.close() as required by the JDBC specification? 
Networking	largeRowSizeThreshold	No	2048	alpha	5.1.1	 What size result set row should the JDBC driver consider "large", and thus use a more memory-efficient way of representing the row internally? 
Networking	loadBalanceStrategy	No	random	alpha	5.0.6	 If using a load-balanced connection to connect to SQL nodes in a MySQL Cluster/NDB configuration (by using the URL prefix "jdbc:mysql:loadbalance://"), which load balancing algorithm should the driver use: (1) "random" - the driver will pick a random host for each request. This tends to work better than round-robin, as the randomness will somewhat account for spreading loads where requests vary in response time, while round-robin can sometimes lead to overloaded nodes if there are variations in response times across the workload. (2) "bestResponseTime" - the driver will route the request to the host that had the best response time for the previous transaction. (3) "serverAffinity" - the driver initially attempts to enforce server affinity while still respecting and benefiting from the fault tolerance aspects of the load-balancing implementation. The server affinity ordered list is provided using the property 'serverAffinityOrder'. If none of the servers listed in the affinity list is responsive, the driver then refers to the "random" strategy to proceed with choosing the next server. 
Networking	locatorFetchBufferSize	No	1048576	alpha	3.2.1	 If 'emulateLocators' is configured to 'true', what size buffer should be used when fetching BLOB data for getBinaryInputStream? 
Networking	readOnlyPropagatesToServer	No	true	alpha	5.1.35	 Should the driver issue appropriate statements to implicitly set the transaction access mode on server side when Connection.setReadOnly() is called? Setting this property to 'true' enables InnoDB read-only potential optimizations but also requires an extra roundtrip to set the right transaction state. Even if this property is set to 'false', the driver will do its best effort to prevent the execution of database-state-changing queries. Requires minimum of MySQL 5.6. 
Networking	rewriteBatchedStatements	No	false	alpha	3.1.13	 Should the driver use multiqueries (irregardless of the setting of "allowMultiQueries") as well as rewriting of prepared statements for INSERT into multi-value inserts when executeBatch() is called? Notice that this has the potential for SQL injection if using plain java.sql.Statements and your code doesn't sanitize input correctly. Notice that for prepared statements, server-side prepared statements can not currently take advantage of this rewrite option, and that if you don't specify stream lengths when using PreparedStatement.set*Stream(), the driver won't be able to determine the optimum number of parameters per batch and you might receive an error from the driver that the resultant packet is too large. Statement.getGeneratedKeys() for these rewritten statements only works when the entire batch includes INSERT statements. Please be aware using rewriteBatchedStatements=true with INSERT .. ON DUPLICATE KEY UPDATE that for rewritten statement server returns only one value as sum of all affected (or found) rows in batch and it isn't possible to map it correctly to initial statements; in this case driver returns 0 as a result of each batch statement if total count was 0, and the Statement.SUCCESS_NO_INFO as a result of each batch statement if total count was &gt; 0. 
Networking	serverAffinityOrder	No		alpha	5.1.43	 A comma separated list containing the host/port pairs that are to be used in load-balancing "serverAffinity" strategy. Only the sub-set of the hosts enumerated in the main hosts section in this URL will be used and they must be identical in case and type, i.e., can't use an IP address in one place and the corresponding host name in the other. 
Networking	useDirectRowUnpack	No	true	alpha	5.1.1	 Use newer result set row unpacking code that skips a copy from network buffers to a MySQL packet instance and instead reads directly into the result set row data buffers. 
Networking	useDynamicCharsetInfo	No	true	alpha	5.0.6	 Should the driver use a per-connection cache of character set information queried from the server when necessary, or use a built-in static mapping that is more efficient, but isn't aware of custom character sets or character sets implemented after the release of the JDBC driver? 
Networking	useFastDateParsing	No	true	alpha	5.0.5	 Use internal String-&gt;Date/Time/Timestamp conversion routines to avoid excessive object creation? This is part of the legacy date-time code, thus the property has an effect only when "useLegacyDatetimeCode=true." 
Networking	useFastIntParsing	No	true	alpha	3.1.4	 Use internal String-&gt;Integer conversion routines to avoid excessive object creation? 
Networking	useJvmCharsetConverters	No	false	alpha	5.0.1	 Always use the character encoding routines built into the JVM, rather than using lookup tables for single-byte character sets? 
Networking	useReadAheadInput	No	true	alpha	3.1.5	 Use newer, optimized non-blocking, buffered input stream when reading from the server? 
Networking	logger	No	com.mysql.jdbc.log.StandardLogger	0	3.1.1	 The name of a class that implements "com.mysql.jdbc.log.Log" that will be used to log messages to. (default is "com.mysql.jdbc.log.StandardLogger", which logs to STDERR) 
Networking	gatherPerfMetrics	No	false	1	3.1.2	 Should the driver gather performance metrics, and report them via the configured logger every 'reportMetricsIntervalMillis' milliseconds? 
Networking	profileSQL	No	false	1	3.1.0	 Trace queries and their execution/fetch times to the configured logger (true/false) defaults to 'false' 
Networking	profileSql	No		3	2.0.14	 Deprecated, use 'profileSQL' instead. Trace queries and their execution/fetch times on STDERR (true/false) defaults to 'false' 
Networking	reportMetricsIntervalMillis	No	30000	3	3.1.2	 If 'gatherPerfMetrics' is enabled, how often should they be logged (in ms)? 
Networking	maxQuerySizeToLog	No	2048	4	3.1.3	 Controls the maximum length/size of a query that will get logged when profiling or tracing 
Networking	packetDebugBufferSize	No	20	7	3.1.3	 The maximum number of packets to retain when 'enablePacketDebug' is true 
Networking	slowQueryThresholdMillis	No	2000	9	3.1.2	 If 'logSlowQueries' is enabled, how long should a query (in ms) before it is logged as 'slow'? 
Networking	slowQueryThresholdNanos	No	0	10	5.0.7	 If 'useNanosForElapsedTime' is set to true, and this property is set to a non-zero value, the driver will use this threshold (in nanosecond units) to determine if a query was slow. 
Networking	useUsageAdvisor	No	false	10	3.1.1	 Should the driver issue 'usage' warnings advising proper and efficient usage of JDBC and MySQL Connector/J to the log (true/false, defaults to 'false')? 
Networking	autoGenerateTestcaseScript	No	false	alpha	3.1.9	 Should the driver dump the SQL it is executing, including server-side prepared statements to STDERR? 
Networking	autoSlowLog	No	true	alpha	5.1.4	 Instead of using slowQueryThreshold* to determine if a query is slow enough to be logged, maintain statistics that allow the driver to determine queries that are outside the 99th percentile? 
Networking	clientInfoProvider	No	com.mysql.jdbc.JDBC4CommentClientInfoProvider	alpha	5.1.0	 The name of a class that implements the com.mysql.jdbc.JDBC4ClientInfoProvider interface in order to support JDBC-4.0's Connection.get/setClientInfo() methods 
Networking	dumpMetadataOnColumnNotFound	No	false	alpha	3.1.13	 Should the driver dump the field-level metadata of a result set into the exception message when ResultSet.findColumn() fails? 
Networking	dumpQueriesOnException	No	false	alpha	3.1.3	 Should the driver dump the contents of the query sent to the server in the message for SQLExceptions? 
Networking	enablePacketDebug	No	false	alpha	3.1.3	 When enabled, a ring-buffer of 'packetDebugBufferSize' packets will be kept, and dumped when exceptions are thrown in key areas in the driver's code 
Networking	explainSlowQueries	No	false	alpha	3.1.2	 If 'logSlowQueries' is enabled, should the driver automatically issue an 'EXPLAIN' on the server and send the results to the configured log at a WARN level? 
Networking	includeInnodbStatusInDeadlockExceptions	No	false	alpha	5.0.7	 Include the output of "SHOW ENGINE INNODB STATUS" in exception messages when deadlock exceptions are detected? 
Networking	includeThreadDumpInDeadlockExceptions	No	false	alpha	5.1.15	 Include a current Java thread dump in exception messages when deadlock exceptions are detected? 
Networking	includeThreadNamesAsStatementComment	No	false	alpha	5.1.15	 Include the name of the current thread as a comment visible in "SHOW PROCESSLIST", or in Innodb deadlock dumps, useful in correlation with "includeInnodbStatusInDeadlockExceptions=true" and "includeThreadDumpInDeadlockExceptions=true". 
Networking	logSlowQueries	No	false	alpha	3.1.2	 Should queries that take longer than 'slowQueryThresholdMillis' be logged? 
Networking	logXaCommands	No	false	alpha	5.0.5	 Should the driver log XA commands sent by MysqlXaConnection to the server, at the DEBUG level of logging? 
Networking	profilerEventHandler	No	com.mysql.jdbc.profiler.LoggingProfilerEventHandler	alpha	5.1.6	 Name of a class that implements the interface com.mysql.jdbc.profiler.ProfilerEventHandler that will be used to handle profiling/tracing events. 
Networking	resultSetSizeThreshold	No	100	alpha	5.0.5	 If the usage advisor is enabled, how many rows should a result set contain before the driver warns that it is suspiciously large? 
Networking	traceProtocol	No	false	alpha	3.1.2	 Should trace-level network protocol be logged? 
Networking	useNanosForElapsedTime	No	false	alpha	5.0.7	 For profiling/debugging functionality that measures elapsed time, should the driver try to use nanoseconds resolution if available (JDK &gt;= 1.5)? 
Networking	useUnicode	No	true	0	1.1g	 Should the driver use Unicode character encodings when handling strings? Should only be used when the driver can't determine the character set mapping, or you are trying to 'force' the driver to use a character set that MySQL either doesn't natively support (such as UTF-8), true/false, defaults to 'true' 
Networking	characterEncoding	No		5	1.1g	 If 'useUnicode' is set to true, what character encoding should the driver use when dealing with strings? (defaults is to 'autodetect') 
Networking	characterSetResults	No		6	3.0.13	 Character set to tell the server to return results as. 
Networking	connectionAttributes	No		7	5.1.25	 A comma-delimited list of user-defined key:value pairs (in addition to standard MySQL-defined key:value pairs) to be passed to MySQL Server for display as connection attributes in the PERFORMANCE_SCHEMA.SESSION_CONNECT_ATTRS table. Example usage: connectionAttributes=key1:value1,key2:value2 This functionality is available for use with MySQL Server version 5.6 or later only. Earlier versions of MySQL Server do not support connection attributes, causing this configuration option to be ignored. Setting connectionAttributes=none will cause connection attribute processing to be bypassed, for situations where Connection creation/initialization speed is critical. 
Networking	connectionCollation	No		7	3.0.13	 If set, tells the server to use this collation via 'set collation_connection' 
Networking	useBlobToStoreUTF8OutsideBMP	No	false	128	5.1.3	 Tells the driver to treat [MEDIUM/LONG]BLOB columns as [LONG]VARCHAR columns holding text encoded in UTF-8 that has characters outside the BMP (4-byte encodings), which MySQL server can't handle natively. 
Networking	utf8OutsideBmpExcludedColumnNamePattern	No		129	5.1.3	 When "useBlobToStoreUTF8OutsideBMP" is set to "true", column names matching the given regex will still be treated as BLOBs unless they match the regex specified for "utf8OutsideBmpIncludedColumnNamePattern". The regex must follow the patterns used for the java.util.regex package. 
Networking	utf8OutsideBmpIncludedColumnNamePattern	No		129	5.1.3	 Used to specify exclusion rules to "utf8OutsideBmpExcludedColumnNamePattern". The regex must follow the patterns used for the java.util.regex package. 
Networking	loadBalanceEnableJMX	No	false	2147483647	5.1.13	 Enables JMX-based management of load-balanced connection groups, including live addition/removal of hosts from load-balancing pool. 
Networking	loadBalanceHostRemovalGracePeriod	No	15000	2147483647	5.1.39	 Sets the grace period to wait for a host being removed from a load-balanced connection, to be released when it is currently the active host. 
Networking	sessionVariables	No		2147483647	3.1.8	 A comma or semicolon separated list of name=value pairs to be sent as SET [SESSION] ... to the server when the driver connects. 
Networking	useColumnNamesInFindColumn	No	false	2147483647	5.1.7	 Prior to JDBC-4.0, the JDBC specification had a bug related to what could be given as a "column name" to ResultSet methods like findColumn(), or getters that took a String property. JDBC-4.0 clarified "column name" to mean the label, as given in an "AS" clause and returned by ResultSetMetaData.getColumnLabel(), and if no AS clause, the column name. Setting this property to "true" will give behavior that is congruent to JDBC-3.0 and earlier versions of the JDBC specification, but which because of the specification bug could give unexpected results. This property is preferred over "useOldAliasMetadataBehavior" unless you need the specific behavior that it provides with respect to ResultSetMetadata. 
Networking	allowNanAndInf	No	false	alpha	3.1.5	 Should the driver allow NaN or +/- INF values in PreparedStatement.setDouble()? 
Networking	autoClosePStmtStreams	No	false	alpha	3.1.12	 Should the driver automatically call .close() on streams/readers passed as arguments via set*() methods? 
Networking	autoDeserialize	No	false	alpha	3.1.5	 Should the driver automatically detect and de-serialize objects stored in BLOB fields? 
Networking	blobsAreStrings	No	false	alpha	5.0.8	 Should the driver always treat BLOBs as Strings - specifically to work around dubious metadata returned by the server for GROUP BY clauses? 
Networking	cacheDefaultTimezone	No	true	alpha	5.1.35	 Caches client's default time zone. This results in better performance when dealing with time zone conversions in Date and Time data types, however it won't be aware of time zone changes if they happen at runtime. 
Networking	capitalizeTypeNames	No	true	alpha	2.0.7	 Capitalize type names in DatabaseMetaData? (usually only useful when using WebObjects, true/false, defaults to 'false') 
Networking	clobCharacterEncoding	No		alpha	5.0.0	 The character encoding to use for sending and retrieving TEXT, MEDIUMTEXT and LONGTEXT values instead of the configured connection characterEncoding 
Networking	clobberStreamingResults	No	false	alpha	3.0.9	 This will cause a 'streaming' ResultSet to be automatically closed, and any outstanding data still streaming from the server to be discarded if another query is executed before all the data has been read from the server. 
Networking	compensateOnDuplicateKeyUpdateCounts	No	false	alpha	5.1.7	 Should the driver compensate for the update counts of "ON DUPLICATE KEY" INSERT statements (2 = 1, 0 = 1) when using prepared statements? 
Networking	continueBatchOnError	No	true	alpha	3.0.3	 Should the driver continue processing batch commands if one statement fails. The JDBC spec allows either way (defaults to 'true'). 
Networking	createDatabaseIfNotExist	No	false	alpha	3.1.9	 Creates the database given in the URL if it doesn't yet exist. Assumes the configured user has permissions to create databases. 
Networking	detectCustomCollations	No	false	alpha	5.1.29	 Should the driver detect custom charsets/collations installed on server (true/false, defaults to 'false'). If this option set to 'true' driver gets actual charsets/collations from server each time connection establishes. This could slow down connection initialization significantly. 
Networking	emptyStringsConvertToZero	No	true	alpha	3.1.8	 Should the driver allow conversions from empty string fields to numeric values of '0'? 
Networking	emulateLocators	No	false	alpha	3.1.0	 Should the driver emulate java.sql.Blobs with locators? With this feature enabled, the driver will delay loading the actual Blob data until the one of the retrieval methods (getInputStream(), getBytes(), and so forth) on the blob data stream has been accessed. For this to work, you must use a column alias with the value of the column to the actual name of the Blob. The feature also has the following restrictions: The SELECT that created the result set must reference only one table, the table must have a primary key; the SELECT must alias the original blob column name, specified as a string, to an alternate name; the SELECT must cover all columns that make up the primary key. 
Networking	emulateUnsupportedPstmts	No	true	alpha	3.1.7	 Should the driver detect prepared statements that are not supported by the server, and replace them with client-side emulated versions? 
Networking	exceptionInterceptors	No		alpha	5.1.8	 Comma-delimited list of classes that implement com.mysql.jdbc.ExceptionInterceptor. These classes will be instantiated one per Connection instance, and all SQLExceptions thrown by the driver will be allowed to be intercepted by these interceptors, in a chained fashion, with the first class listed as the head of the chain. 
Networking	functionsNeverReturnBlobs	No	false	alpha	5.0.8	 Should the driver always treat data from functions returning BLOBs as Strings - specifically to work around dubious metadata returned by the server for GROUP BY clauses? 
Networking	generateSimpleParameterMetadata	No	false	alpha	5.0.5	 Should the driver generate simplified parameter metadata for PreparedStatements when no metadata is available either because the server couldn't support preparing the statement, or server-side prepared statements are disabled? 
Networking	getProceduresReturnsFunctions	No	true	alpha	5.1.26	 Pre-JDBC4 DatabaseMetaData API has only the getProcedures() and getProcedureColumns() methods, so they return metadata info for both stored procedures and functions. JDBC4 was extended with the getFunctions() and getFunctionColumns() methods and the expected behaviours of previous methods are not well defined. For JDBC4 and higher, default 'true' value of the option means that calls of DatabaseMetaData.getProcedures() and DatabaseMetaData.getProcedureColumns() return metadata for both procedures and functions as before, keeping backward compatibility. Setting this property to 'false' decouples Connector/J from its pre-JDBC4 behaviours for DatabaseMetaData.getProcedures() and DatabaseMetaData.getProcedureColumns(), forcing them to return metadata for procedures only. 
Networking	ignoreNonTxTables	No	false	alpha	3.0.9	 Ignore non-transactional table warning for rollback? (defaults to 'false'). 
Networking	jdbcCompliantTruncation	No	true	alpha	3.1.2	 Should the driver throw java.sql.DataTruncation exceptions when data is truncated as is required by the JDBC specification when connected to a server that supports warnings (MySQL 4.1.0 and newer)? This property has no effect if the server sql-mode includes STRICT_TRANS_TABLES. 
Networking	loadBalanceAutoCommitStatementRegex	No		alpha	5.1.15	 When load-balancing is enabled for auto-commit statements (via loadBalanceAutoCommitStatementThreshold), the statement counter will only increment when the SQL matches the regular expression. By default, every statement issued matches. 
Networking	loadBalanceAutoCommitStatementThreshold	No	0	alpha	5.1.15	 When auto-commit is enabled, the number of statements which should be executed before triggering load-balancing to rebalance. Default value of 0 causes load-balanced connections to only rebalance when exceptions are encountered, or auto-commit is disabled and transactions are explicitly committed or rolled back. 
Networking	loadBalanceBlacklistTimeout	No	0	alpha	5.1.0	 Time in milliseconds between checks of servers which are unavailable, by controlling how long a server lives in the global blacklist. 
Networking	loadBalanceConnectionGroup	No		alpha	5.1.13	 Logical group of load-balanced connections within a classloader, used to manage different groups independently. If not specified, live management of load-balanced connections is disabled. 
Networking	loadBalanceExceptionChecker	No	com.mysql.jdbc.StandardLoadBalanceExceptionChecker	alpha	5.1.13	 Fully-qualified class name of custom exception checker. The class must implement com.mysql.jdbc.LoadBalanceExceptionChecker interface, and is used to inspect SQLExceptions and determine whether they should trigger fail-over to another host in a load-balanced deployment. 
Networking	loadBalancePingTimeout	No	0	alpha	5.1.13	 Time in milliseconds to wait for ping response from each of load-balanced physical connections when using load-balanced Connection. 
Networking	loadBalanceSQLExceptionSubclassFailover	No		alpha	5.1.13	 Comma-delimited list of classes/interfaces used by default load-balanced exception checker to determine whether a given SQLException should trigger failover. The comparison is done using Class.isInstance(SQLException) using the thrown SQLException. 
Networking	loadBalanceSQLStateFailover	No		alpha	5.1.13	 Comma-delimited list of SQLState codes used by default load-balanced exception checker to determine whether a given SQLException should trigger failover. The SQLState of a given SQLException is evaluated to determine whether it begins with any value in the comma-delimited list. 
Networking	loadBalanceValidateConnectionOnSwapServer	No	false	alpha	5.1.13	 Should the load-balanced Connection explicitly check whether the connection is live when swapping to a new physical connection at commit/rollback? 
Networking	maxRows	No	-1	alpha	all versions	 The maximum number of rows to return (0, the default means return all rows). 
Networking	netTimeoutForStreamingResults	No	600	alpha	5.1.0	 What value should the driver automatically set the server setting 'net_write_timeout' to when the streaming result sets feature is in use? (value has unit of seconds, the value '0' means the driver will not try and adjust this value) 
Networking	noAccessToProcedureBodies	No	false	alpha	5.0.3	 When determining procedure parameter types for CallableStatements, and the connected user can't access procedure bodies through "SHOW CREATE PROCEDURE" or select on mysql.proc should the driver instead create basic metadata (all parameters reported as IN VARCHARs, but allowing registerOutParameter() to be called on them anyway) instead of throwing an exception? 
Networking	noDatetimeStringSync	No	false	alpha	3.1.7	 Don't ensure that ResultSet.getDatetimeType().toString().equals(ResultSet.getString()) 
Networking	noTimezoneConversionForDateType	No	true	alpha	5.1.35	 Don't convert DATE values using the server time zone if 'useTimezone'='true' or 'useLegacyDatetimeCode'='false' 
Networking	noTimezoneConversionForTimeType	No	false	alpha	5.0.0	 Don't convert TIME values using the server time zone if 'useTimezone'='true' 
Networking	nullCatalogMeansCurrent	No	true	alpha	3.1.8	 When DatabaseMetadataMethods ask for a 'catalog' parameter, does the value null mean use the current catalog? (this is not JDBC-compliant, but follows legacy behavior from earlier versions of the driver) 
Networking	nullNamePatternMatchesAll	No	true	alpha	3.1.8	 Should DatabaseMetaData methods that accept *pattern parameters treat null the same as '%' (this is not JDBC-compliant, however older versions of the driver accepted this departure from the specification) 
Networking	overrideSupportsIntegrityEnhancementFacility	No	false	alpha	3.1.12	 Should the driver return "true" for DatabaseMetaData.supportsIntegrityEnhancementFacility() even if the database doesn't support it to workaround applications that require this method to return "true" to signal support of foreign keys, even though the SQL specification states that this facility contains much more than just foreign key support (one such application being OpenOffice)? 
Networking	padCharsWithSpace	No	false	alpha	5.0.6	 If a result set column has the CHAR type and the value does not fill the amount of characters specified in the DDL for the column, should the driver pad the remaining characters with space (for ANSI compliance)? 
Networking	pedantic	No	false	alpha	3.0.0	 Follow the JDBC spec to the letter. 
Networking	pinGlobalTxToPhysicalConnection	No	false	alpha	5.0.1	 When using XAConnections, should the driver ensure that operations on a given XID are always routed to the same physical connection? This allows the XAConnection to support "XA START ... JOIN" after "XA END" has been called 
Networking	populateInsertRowWithDefaultValues	No	false	alpha	5.0.5	 When using ResultSets that are CONCUR_UPDATABLE, should the driver pre-populate the "insert" row with default values from the DDL for the table used in the query so those values are immediately available for ResultSet accessors? This functionality requires a call to the database for metadata each time a result set of this type is created. If disabled (the default), the default values will be populated by the an internal call to refreshRow() which pulls back default values and/or values changed by triggers. 
Networking	processEscapeCodesForPrepStmts	No	true	alpha	3.1.12	 Should the driver process escape codes in queries that are prepared? Default escape processing behavior in non-prepared statements must be defined with the property 'enableEscapeProcessing'. 
Networking	queryTimeoutKillsConnection	No	false	alpha	5.1.9	 If the timeout given in Statement.setQueryTimeout() expires, should the driver forcibly abort the Connection instead of attempting to abort the query? 
Networking	relaxAutoCommit	No	false	alpha	2.0.13	 If the version of MySQL the driver connects to does not support transactions, still allow calls to commit(), rollback() and setAutoCommit() (true/false, defaults to 'false')? 
Networking	retainStatementAfterResultSetClose	No	false	alpha	3.1.11	 Should the driver retain the Statement reference in a ResultSet after ResultSet.close() has been called. This is not JDBC-compliant after JDBC-4.0. 
Networking	rollbackOnPooledClose	No	true	alpha	3.0.15	 Should the driver issue a rollback() when the logical connection in a pool is closed? 
Networking	runningCTS13	No	false	alpha	3.1.7	 Enables workarounds for bugs in Sun's JDBC compliance testsuite version 1.3 
Networking	sendFractionalSeconds	No	true	alpha	5.1.37	 Send fractional part from TIMESTAMP seconds. If set to false, the nanoseconds value of TIMESTAMP values will be truncated before sending any data to the server. This option applies only to prepared statements, callable statements or updatable result sets. 
Networking	serverTimezone	No		alpha	3.0.2	 Override detection/mapping of time zone. Used when time zone from server doesn't map to Java time zone 
Networking	statementInterceptors	No		alpha	5.1.1	 A comma-delimited list of classes that implement "com.mysql.jdbc.StatementInterceptor" that should be placed "in between" query execution to influence the results. StatementInterceptors are "chainable", the results returned by the "current" interceptor will be passed on to the next in in the chain, from left-to-right order, as specified in this property. 
Networking	strictFloatingPoint	No	false	alpha	3.0.0	 Used only in older versions of compliance test 
Networking	strictUpdates	No	true	alpha	3.0.4	 Should the driver do strict checking (all primary keys selected) of updatable result sets (true, false, defaults to 'true')? 
Networking	tinyInt1isBit	No	true	alpha	3.0.16	 Should the driver treat the datatype TINYINT(1) as the BIT type (because the server silently converts BIT -&gt; TINYINT(1) when creating tables)? 
Networking	transformedBitIsBoolean	No	false	alpha	3.1.9	 If the driver converts TINYINT(1) to a different type, should it use BOOLEAN instead of BIT for future compatibility with MySQL-5.0, as MySQL-5.0 has a BIT type? 
Networking	treatUtilDateAsTimestamp	No	true	alpha	5.0.5	 Should the driver treat java.util.Date as a TIMESTAMP for the purposes of PreparedStatement.setObject()? 
Networking	ultraDevHack	No	false	alpha	2.0.3	 Create PreparedStatements for prepareCall() when required, because UltraDev is broken and issues a prepareCall() for _all_ statements? (true/false, defaults to 'false') 
Networking	useAffectedRows	No	false	alpha	5.1.7	 Don't set the CLIENT_FOUND_ROWS flag when connecting to the server (not JDBC-compliant, will break most applications that rely on "found" rows vs. "affected rows" for DML statements), but does cause "correct" update counts from "INSERT ... ON DUPLICATE KEY UPDATE" statements to be returned by the server. 
Networking	useGmtMillisForDatetimes	No	false	alpha	3.1.12	 Convert between session time zone and GMT before creating Date and Timestamp instances (value of 'false' leads to legacy behavior, 'true' leads to more JDBC-compliant behavior)? This is part of the legacy date-time code, thus the property has an effect only when "useLegacyDatetimeCode=true." 
Networking	useHostsInPrivileges	No	true	alpha	3.0.2	 Add '@hostname' to users in DatabaseMetaData.getColumn/TablePrivileges() (true/false), defaults to 'true'. 
Networking	useInformationSchema	No	false	alpha	5.0.0	 When connected to MySQL-5.0.7 or newer, should the driver use the INFORMATION_SCHEMA to derive information used by DatabaseMetaData? 
Networking	useJDBCCompliantTimezoneShift	No	false	alpha	5.0.0	 Should the driver use JDBC-compliant rules when converting TIME/TIMESTAMP/DATETIME values' time zone information for those JDBC arguments which take a java.util.Calendar argument? This is part of the legacy date-time code, thus the property has an effect only when "useLegacyDatetimeCode=true." 
